,pl_rade,pl_bmasse,st_teff,pl_eqt,Pl_eh_vol,dens_pl_ert
108,2.52,15.0,3985.0,533,16.003008,0.937326451
109,3.14,10.8,4065.0,443,30.959144,0.348847847
110,1.152,1.5,4316.0,1040,1.528823808,0.981149209
111,1.669,4.77,4316.0,873,4.649101309,1.026007665
112,2.572,3.01,4316.0,690,17.01425325,0.176911001
113,2.207,3.86,4316.0,600,10.74996374,0.359072001
114,2.87,3.94,4316.0,470,23.639903,0.166667825
115,16.141,222.47988,5991.0,1927,4205.245091,0.052905481
116,6.956,46.1687,4994.0,895,336.5725708,0.137173482
117,11.142,308.92921,4766.0,962,1383.214275,0.223342178
118,12.778,731.00534,5734.0,1375,2086.357135,0.350375019
119,12.89,209.7678,3841.0,362,2141.700569,0.097944783
120,13.978,638.8351,5814.0,2097,2731.084317,0.23391329
121,11.299,133.4886,6394.0,759,1442.513964,0.092539125
122,11.893,1144.18227,5977.0,1166,1682.186939,0.680177393
123,15.098,1595.4986,6540.0,3646,3441.583121,0.463595702
124,2.19,6.37,3342.0,395,10.503459,0.606468605
125,11.982,1671.77742,6177.0,1484,1720.235658,0.971833232
126,14.359,899.45439,6630.0,1802,2960.55127,0.303814009
127,16.287,292.40213,6280.0,1580,4320.393352,0.067679708
128,10.761,260.61929,5673.0,1188,1246.114341,0.209146162
129,11.321,875.61726,5695.0,348,1450.956429,0.603477634
130,19.84,298.7587,5966.0,1763,7809.531904,0.038255756
131,3.51,26.0,5634.0,1860,43.243551,0.601247432
132,3.03,13.8,5298.0,805,27.818127,0.496080821
133,11.153,203.41018,6101.0,1259,1387.315079,0.14662189
134,14.37,502.16888,6248.0,1688,2967.360453,0.169231314
135,1.74,19.5,3491.0,284,5.268024,3.701588206
136,11.209,1900.61387,5581.0,799,1408.317602,1.349567226
137,8.608,71.51139,5306.0,1091,637.8326917,0.112116539
138,10.368,105.83686,5607.0,1534,1114.512556,0.094962736
139,7.163,43.86032,6095.0,1027,367.5232797,0.119340589
140,13.641,260.61929,5771.0,1431,2538.274734,0.102676053
141,14.46,79.4571,5936.0,1456,3023.464536,0.026280224
142,12.072,69.28659,5760.0,1445,1759.290997,0.039383358
143,12.106,1112.39942,5579.0,592,1774.197687,0.626989086
144,2.77,8.8,3514.0,531,21.253933,0.414042194
145,1.206,1.58,3506.0,581,1.754049816,0.900775156
146,2.355,6.15,3506.0,488,13.06088888,0.470872815
147,2.133,4.78,3506.0,387,9.704486637,0.492557081
148,17.262,139.8445,5764.0,1205,5143.672829,0.027187751
149,18.114,309.8827,6280.0,1893,5943.511266,0.052138133
150,15.278,225.65817,5721.0,1376,3566.149265,0.063278005
151,12.845,117.59651,5910.0,1471,2119.348251,0.055487268
152,13.159,533.95172,5691.0,1544,2278.602979,0.2343336
153,16.432,197.05361,5760.0,1596,4436.814574,0.044413434
154,11.4,211.35589,3388.8,604,1481.544,0.142659612
155,12.98,721.47048,5609.0,1488,2186.875592,0.329910186
156,12.229,530.77344,5706.0,1264,1828.827885,0.290226847
157,23.539,375.03752,5810.0,1498,13042.59554,0.028754904
158,8.295,82.63539,3870.0,690,570.7542724,0.144783192
159,13.081,311.47184,5950.0,1534,2238.32341,0.139154478
160,12.599,324.18498,5321.0,801,1999.899758,0.162101076
161,11.321,222.47988,3660.0,750,1450.956429,0.153333697
162,12.0,85.3,3913.0,759,1728.0,0.049363566
163,18.495,330.54154,5772.0,1646,6326.492637,0.052247351
164,13.137,352.78953,5859.0,1633,2267.193562,0.155606711
165,6.0,16.5,3269.0,463,216.0,0.076389106
166,14.28,129.03833,5725.0,1512,2911.954752,0.044313428
167,12.274,55.61997,5975.0,1295,1849.091307,0.030079709
168,13.047,232.01474,6060.0,1458,2220.915255,0.104468372
169,13.574,457.67291,6202.0,1570,2501.056683,0.182992339
170,13.305,136.66622,5281.0,1074,2355.291348,0.058025352
171,2.68,7.17,5325.0,981,19.248832,0.372491194
172,5.09,16.42,5325.0,674,131.872229,0.124514819
173,1.28,3.07,4850.0,1862,2.097152,1.463894243
174,3.29,9.9,4850.0,633,35.611289,0.278002523
175,11.209,95.34852,6219.0,904,1408.317602,0.06770404
176,13.26,252.35576,5640.0,1395,2331.473976,0.108239029
177,12.53,732.0,6096.0,318,1967.221277,0.372099515
178,11.68,4096.80817,6264.0,1677,1593.413632,2.571096261
179,12.442,734.18362,6058.0,1472,1926.063455,0.381184591
180,11.097,486.2799,5735.0,1370,1366.52241,0.355853135
181,1.166,1.42,4440.0,1617,1.585242296,0.89576467
182,11.882,1036.12061,6300.0,906,1677.523621,0.617650653
183,11.994,4449.62,3350.0,760,1725.409296,2.578885298
184,11.6,343.0,3430.0,737,1560.896,0.219746208
185,9.303,127.13136,3659.0,565,805.1356611,0.157900995
186,5.82,61.5,3927.0,867,197.137368,0.311966096
187,11.31,419.5335,5700.0,441,1446.731091,0.289988027
188,12.173,1147.36055,6466.0,1061,1803.818622,0.636074937
189,12.229,1910.14873,5925.0,1180,1828.827885,1.044469074
190,1.425,2.0,5372.0,2310,2.893640625,0.6911728
191,2.91,5.39,5372.0,800,24.642171,0.218731351
192,2.82,13.2,5372.0,598,22.425768,0.58861028
193,2.55,12.6,5372.0,415,16.581375,0.759890894
194,11.433,464.98529,5640.0,1714,1494.44732,0.31114286
195,11.882,2011.8639,6250.0,1586,1677.523621,1.199309268
196,19.851,279.6904,6460.0,1749,7822.528752,0.035754576
197,5.25,23.6,3514.0,635,144.703125,0.163093003
198,13.115,392.83788,6295.0,1252,2255.822296,0.174144479
199,1.992,5.72,5585.0,1056,7.904383488,0.72365116
200,2.28,9.79,5450.0,1038,11.852352,0.825998744
201,2.63,9.32,5450.0,800,18.191447,0.512330137
202,1.85,4.0,3709.0,514,6.331625,0.631751152
203,2.02,5.3,3709.0,415,8.242408,0.643017803
204,2.926,18.467,4600.0,1253,25.05087878,0.737181826
205,1.704,4.53,4552.0,871,4.947761664,0.91556813
206,2.587,9.6,4552.0,665,17.313676,0.554476549
207,11.994,301.9385,6261.0,1397,1725.409296,0.174995788
208,13.126,211.99261,5570.0,1192,2261.503164,0.093739959
209,9.55,55.30242,5710.0,1526,870.983875,0.063494376
210,2.765,9.1,4435.0,941,21.13904713,0.430484205
211,10.4,4386.054,4710.0,163,1124.864,3.899197134
