pl_rade,pl_radj,pl_bmasse,pl_bmassj,st_teff,pl_eqt,Pl_eh_vol,Pl_J_vol,dens_pl_ert,dens_pl_jup
2.51,0.224,8.8,0.02769,5151,860,15.813251,0.011239424,0.556496893,2303.820416
3.51,0.313,5.3,0.01668,5151,586,43.243551,0.030664297,0.122561977,508.6660537
3.78,0.337,14.8,0.04657,5151,462,54.010152,0.038272753,0.274023338,1137.853258
2.726,0.243,9.5,0.02989,5320,1037,20.25711318,0.014348907,0.468972403,1947.945564
2.759,0.246,6.63,0.02086,5320,828,21.00173148,0.014886936,0.315689155,1310.324027
2.93,0.261,13.6,0.04279,5320,638,25.153757,0.017779581,0.540676238,2250.559433
11.456,1.022,140.16233,0.441,4775,963,1503.484707,1.067462648,0.093225244,386.3275002
2.41,0.215,8.56,0.02693,4227,871,13.997521,0.009938375,0.611538598,2533.907142
2.76,0.246,13.2,0.04153,4227,651,21.024576,0.014886936,0.627838467,2608.713176
3.12,0.278,11.84,0.03725,4227,499,30.371328,0.021484952,0.389842476,1621.293387
2.37,0.211,13.5,0.04248,3600,413,13.312053,0.009393931,1.014121445,4228.699886
1.56,0.139,2.2,0.00692,3600,344,3.796416,0.002685619,0.579495572,2409.524883
9.1,0.812,96.4,0.30331,5300,919,753.571,0.535387328,0.127924608,529.7712222
4.14,0.369,24.6,0.0774,4985,961,70.957944,0.050243409,0.346685214,1440.560771
5.24,0.467,42,0.13215,5225,1266,143.877824,0.101847563,0.291915171,1213.350428
13.798,1.231,94.71287,0.298,5603,1562,2626.929526,1.865409391,0.036054694,149.3866634
9.427,0.841,113.14691,0.356,5889,1388,837.7617375,0.594823321,0.135058964,559.6696191
3.42,0.305,22.4,0.07048,5397,1395,40.001688,0.028372625,0.559977963,2322.929874
15.648,1.396,753.2571,2.37,6274,1679,3831.567778,2.720547136,0.196592958,814.6326512
3.96,0.353,9,0.02832,5840,867,62.099136,0.043986977,0.144929965,602.0587253
16.701,1.49,991.62463,3.12,7690,2370,4658.29972,3.307949,0.212873261,881.9937561
1.672,0.149,4.82,0.01517,3185,326,4.674216448,0.003307949,1.03119181,4288.411949
1.28,0.114,3.21,0.0101,3496,682,2.097152,0.001481544,1.530651635,6374.946459
2.064,0.184,6.64,0.02089,3496,338,8.792838144,0.006229504,0.755162189,3135.845757
11.882,1.06,270.47333,0.851,5597,918,1677.523621,1.191016,0.161234153,668.161867
14.067,1.255,797.7533,2.51,6255,1404,2783.584839,1.976656375,0.286592871,1187.441617
14.415,1.286,375.0394,1.18,5404,1588,2995.324923,2.126781656,0.125208609,518.834472
13.888,1.239,314.6517,0.99,5948,1619,2678.669443,1.902014919,0.117466004,486.7332302
16.69,1.489,387.7526,1.22,6495,1669,4649.101309,3.301293169,0.083404013,345.5775006
1.79,0.16,4.91,0.01545,3550,924,5.735339,0.004096,0.856098301,3527.26637
2.06,0.184,41.31769,0.13,6170,1062,8.741816,0.006229504,4.726455877,19514.59782
11.063,0.987,200.2319,0.63,6170,684,1354.000227,0.961504803,0.147882154,612.7154244
1.7,0.152,3.78,0.01189,3434,1069,4.913,0.003511808,0.76938953,3166.072187
12.173,1.086,251.40353,0.791,5880,1715,1803.818622,1.280824056,0.139373351,577.5063044
1.9,0.17,6.36,0.02001,3690,698,6.859,0.004913,0.927251509,3808.641071
3.09,0.276,48.8,0.15354,3185,489,29.503629,0.021024576,1.654038522,6829.108487
10.817,0.965,1722.6386,5.42,5645,1198,1265.670009,0.898632125,1.361052638,5640.103431
5.05,0.451,26.78,0.08426,3980,767,128.787625,0.091733851,0.207939825,858.9374747
1.39,0.124,57,0.17934,3985,831,2.685619,0.001906624,21.22421768,87959.31364
2.12,0.189,14,0.04405,3985,673,9.528128,0.006751269,1.469337928,6101.410177
2.52,0.225,15,0.0472,3985,533,16.003008,0.011390625,0.937326451,3874.932719
3.14,0.28,10.8,0.03398,4065,443,30.959144,0.021952,0.348847847,1447.501433
1.152,0.103,1.5,0.00472,4316,1040,1.528823808,0.001092727,0.981149209,4039.243608
1.669,0.149,4.77,0.01501,4316,873,4.649101309,0.003307949,1.026007665,4243.1815
2.572,0.229,3.01,0.00947,4316,690,17.01425325,0.012008989,0.176911001,737.4171842
2.207,0.197,3.86,0.01214,4316,600,10.74996374,0.007645373,0.359072001,1484.874435
2.87,0.256,3.94,0.0124,4316,470,23.639903,0.016777216,0.166667825,691.1487249
16.141,1.44,222.47988,0.7,5991,1927,4205.245091,2.985984,0.052905481,219.2200566
6.956,0.634,46.1687,0.1452,4994,895,336.5725708,0.254840104,0.137173482,532.8053348
11.142,0.994,308.92921,0.972,4766,962,1383.214275,0.982107784,0.223342178,925.5008749
12.778,1.14,731.00534,2.3,5734,1375,2086.357135,1.481544,0.350375019,1451.720481
12.89,1.15,209.7678,0.66,3841,362,2141.700569,1.520875,0.097944783,405.8075627
13.978,1.247,638.8351,2.01,5814,2097,2731.084317,1.939096223,0.23391329,969.3183154
11.299,1.008,133.4886,0.42,6394,759,1442.513964,1.024192512,0.092539125,383.4753177
11.893,1.061,1144.18227,3.6,5977,1166,1682.186939,1.194389981,0.680177393,2818.552125
15.098,1.347,1595.4986,5.02,6540,3646,3441.583121,2.444008923,0.463595702,1920.74916
2.19,0.195,6.37,0.02004,3342,395,10.503459,0.007414875,0.606468605,2527.339616
11.982,1.069,1671.77742,5.26,6177,1484,1720.235658,1.221611509,0.971833232,4026.450371
14.359,1.281,899.45439,2.83,6630,1802,2960.55127,2.102071041,0.303814009,1258.950829
16.287,1.453,292.40213,0.92,6280,1580,4320.393352,3.067586677,0.067679708,280.453398
10.761,0.96,260.61929,0.82,5673,1188,1246.114341,0.884736,0.209146162,866.7021525
11.321,1.01,875.61726,2.755,5695,348,1450.956429,1.030301,0.603477634,2500.501985
19.84,1.77,298.7587,0.94,5966,1763,7809.531904,5.545233,0.038255756,158.5177051
3.51,0.313,26,0.08181,5634,1860,43.243551,0.030664297,0.601247432,2494.842317
3.03,0.27,13.8,0.04342,5298,805,27.818127,0.019683,0.496080821,2062.852846
11.153,0.995,203.41018,0.64,6101,1259,1387.315079,0.985074875,0.14662189,607.5478015
14.37,1.282,502.16888,1.58,6248,1688,2967.360453,2.106997768,0.169231314,701.2336257
1.74,0.155,19.5,0.06135,3491,284,5.268024,0.003723875,3.701588206,15405.9752
11.209,1,1900.61387,5.98,5581,799,1408.317602,1,1.349567226,5592.048197
8.608,0.768,71.51139,0.225,5306,1091,637.8326917,0.452984832,0.112116539,464.4816699
10.368,0.925,105.83686,0.333,5607,1534,1114.512556,0.791453125,0.094962736,393.4492821
7.163,0.639,43.86032,0.138,6095,1027,367.5232797,0.260917119,0.119340589,494.5910279
13.641,1.217,260.61929,0.82,5771,1431,2538.274734,1.802485313,0.102676053,425.4140603
14.46,1.29,79.4571,0.25,5936,1456,3023.464536,2.146689,0.026280224,108.9031896
12.072,1.077,69.28659,0.218,5760,1445,1759.290997,1.249243533,0.039383358,163.1845753
12.106,1.08,1112.39942,3.5,5579,592,1774.197687,1.259712,0.626989086,2598.163634
2.77,0.247,8.8,0.02769,3514,531,21.253933,0.015069223,0.414042194,1718.311188
1.206,0.108,1.58,0.00497,3506,581,1.754049816,0.001259712,0.900775156,3689.392361
2.355,0.21,6.15,0.01935,3506,488,13.06088888,0.009261,0.470872815,1953.857143
2.133,0.19,4.78,0.01504,3506,387,9.704486637,0.006859,0.492557081,2050.485749
17.262,1.54,139.8445,0.44,5764,1205,5143.672829,3.652264,0.027187751,112.6575328
18.114,1.616,309.8827,0.975,6280,1893,5943.511266,4.220112896,0.052138133,216.0480089
15.278,1.363,225.65817,0.71,5721,1376,3566.149265,2.532139147,0.063278005,262.2047187
12.845,1.146,117.59651,0.37,5910,1471,2119.348251,1.505060136,0.055487268,229.8886834
13.159,1.174,533.95172,1.68,5691,1544,2278.602979,1.618096024,0.2343336,970.9004735
16.432,1.466,197.05361,0.62,5760,1596,4436.814574,3.150662696,0.044413434,184.0176586
11.4,1.017,211.35589,0.665,3388.8,604,1481.544,1.051871913,0.142659612,591.1919454
12.98,1.158,721.47048,2.27,5609,1488,2186.875592,1.552836312,0.329910186,1367.004364
12.229,1.091,530.77344,1.67,5706,1264,1828.827885,1.298596571,0.290226847,1202.574363
23.539,2.1,375.03752,1.18,5810,1498,13042.59554,9.261,0.028754904,119.1499447
8.295,0.74,82.63539,0.26,3870,690,570.7542724,0.405224,0.144783192,599.995386
13.081,1.167,311.47184,0.98,5950,1534,2238.32341,1.589324463,0.139154478,576.6114066
12.599,1.124,324.18498,1.02,5321,801,1999.899758,1.420034624,0.162101076,671.6932128
11.321,1.01,222.47988,0.7,3660,750,1450.956429,1.030301,0.153333697,635.3362576
12,1.071,85.3,0.26838,3913,759,1728,1.228480911,0.049363566,204.292046
18.495,1.65,330.54154,1.04,5772,1646,6326.492637,4.492125,0.052247351,216.4966739
13.137,1.172,352.78953,1.11,5859,1633,2267.193562,1.609840448,0.155606711,644.7774875
6,0.535,16.5,0.05191,3269,463,216,0.153130375,0.076389106,317.000104
14.28,1.274,129.03833,0.406,5725,1512,2911.954752,2.067798824,0.044313428,183.6062546
12.274,1.095,55.61997,0.175,5975,1295,1849.091307,1.312932375,0.030079709,124.6422881
13.047,1.164,232.01474,0.73,6060,1458,2220.915255,1.577098944,0.104468372,432.8462318
13.574,1.211,457.67291,1.44,6202,1570,2501.056683,1.775956931,0.182992339,758.2279414
13.305,1.187,136.66622,0.43,5281,1074,2355.291348,1.672446203,0.058025352,240.4285408
2.68,0.239,7.17,0.02256,5325,981,19.248832,0.013651919,0.372491194,1545.308219
5.09,0.454,16.42,0.05166,5325,674,131.872229,0.093576664,0.124514819,516.2458401
1.28,0.114,3.07,0.00966,4850,1862,2.097152,0.001481544,1.463894243,6097.22602
3.29,0.294,9.9,0.03115,4850,633,35.611289,0.025412184,0.278002523,1146.266979
11.209,1,95.34852,0.3,6219,904,1408.317602,1,0.06770404,280.537535
13.26,1.183,252.35576,0.794,5640,1395,2331.473976,1.655595487,0.108239029,448.4726785
12.53,1.118,732,2.3,6096,318,1967.221277,1.397415032,0.372099515,1539.118815
11.68,1.042,4096.80817,12.89,6264,1677,1593.413632,1.131366088,2.571096261,10654.16657
12.442,1.11,734.18362,2.31,6058,1472,1926.063455,1.367631,0.381184591,1579.475033
11.097,0.99,486.2799,1.53,5735,1370,1366.52241,0.970299,0.355853135,1474.536641
1.166,0.104,1.42,0.00447,4440,1617,1.585242296,0.001124864,0.89576467,3716.013021
11.882,1.06,1036.12061,3.26,6300,906,1677.523621,1.191016,0.617650653,2559.586001
11.994,1.07,4449.62,14,3350,760,1725.409296,1.225043,2.578885298,10686.76906
11.6,1.03,343,1.08,3430,737,1560.896,1.092727,0.219746208,924.2337069
9.303,0.83,127.13136,0.4,3659,565,805.1356611,0.571787,0.157900995,654.1772489
5.82,0.519,61.5,0.1935,3927,867,197.137368,0.139798359,0.311966096,1294.34073
11.31,1.009,419.5335,1.32,5700,441,1446.731091,1.027243729,0.289988027,1201.628318
12.173,1.086,1147.36055,3.61,6466,1061,1803.818622,1.280824056,0.636074937,2635.648241
12.229,1.091,1910.14873,6.01,5925,1180,1828.827885,1.298596571,1.044469074,4327.827499
1.425,0.127,2,0.00629,5372,2310,2.893640625,0.002048383,0.6911728,2871.502538
2.91,0.26,5.39,0.01696,5372,800,24.642171,0.017576,0.218731351,902.3510456
2.82,0.252,13.2,0.04153,5372,598,22.425768,0.016003008,0.58861028,2426.777896
2.55,0.227,12.6,0.03964,5372,415,16.581375,0.011697083,0.759890894,3169.025955
11.433,1.02,464.98529,1.463,5640,1714,1494.44732,1.061208,0.31114286,1289.179921
11.882,1.06,2011.8639,6.33,6250,1586,1677.523621,1.191016,1.199309268,4969.993676
19.851,1.771,279.6904,0.88,6460,1749,7822.528752,5.554637011,0.035754576,148.148313
5.25,0.468,23.6,0.07425,3514,635,144.703125,0.102503232,0.163093003,677.3741525
13.115,1.17,392.83788,1.236,6295,1252,2255.822296,1.601613,0.174144479,721.6566324
